request_id,difference
4a9dd81e-fb22-11ed-aa0f-0a89691c2239,3.025e-06
f836234c-fb21-11ed-a930-0a89691c2239,3.025e-06
3104bd46-fb22-11ed-a509-0a89691c2239,2.225e-06
0b45c258-fb22-11ed-b39d-0a89691c2239,2.225e-06
cae8e82e-fb22-11ed-b7f8-0a89691c2239,2.225e-06
66bc8a72-fb22-11ed-abdf-0a89691c2239,2.225e-06
289bd520-fb24-11ed-8d41-0a89691c2239,2.225e-06
1ca99676-fb24-11ed-87bb-0a89691c2239,2.225e-06
5030c4b2-fb22-11ed-a816-0a89691c2239,2.225e-06
c16a1812-fb23-11ed-8502-0a89691c2239,2.225e-06
af865a1c-fb22-11ed-8464-0a89691c2239,2.225e-06
9fc7f9c8-fb22-11ed-9030-0a89691c2239,2.225e-06
af31fd0e-fb23-11ed-8d2e-0a89691c2239,2.225e-06
fcc477cc-fb23-11ed-9900-0a89691c2239,2.025e-06
6ff6fbda-fb23-11ed-933d-0a89691c2239,2.025e-06
6c722caa-fb23-11ed-bd12-0a89691c2239,2.025e-06
1a60dea2-fb23-11ed-8594-0a89691c2239,2.025e-06
2f898f9e-fb24-11ed-b796-0a89691c2239,2.025e-06
b5a9319a-fb21-11ed-98c7-0a89691c2239,2.025e-06
b452d5d8-fb23-11ed-a6b2-0a89691c2239,2.025e-06
333a0b82-fb24-11ed-9cab-0a89691c2239,2.025e-06
0c8955a2-fb23-11ed-a6ee-0a89691c2239,2.025e-06
82c84e18-fb22-11ed-987a-0a89691c2239,2.025e-06
bc139f60-fb22-11ed-8448-0a89691c2239,7.5e-07
07277be2-fb24-11ed-82dc-0a89691c2239,7.5e-07
3e871e8c-fb22-11ed-ad0b-0a89691c2239,7.5e-07
dd528064-fb23-11ed-b844-0a89691c2239,7.5e-07
d1ac32be-fb23-11ed-bbef-0a89691c2239,7.5e-07
4a4095ae-fb23-11ed-b15b-0a89691c2239,7.5e-07
38ac39d8-fb23-11ed-a73b-0a89691c2239,7.5e-07
d45bd05c-fb21-11ed-8b78-0a89691c2239,7.5e-07
8bf96796-fb23-11ed-ba3d-0a89691c2239,7.5e-07
88d64c14-fb23-11ed-b346-0a89691c2239,7.5e-07
82520a36-fb23-11ed-8cfe-0a89691c2239,7.5e-07
e7bc71c2-fb23-11ed-b472-0a89691c2239,4.75e-07
eef5ad64-fb23-11ed-a409-0a89691c2239,4.75e-07
58d3465c-fb23-11ed-b8c8-0a89691c2239,4.5e-07
c8c722dc-fb21-11ed-8cc9-0a89691c2239,4.5e-07
3ea5f50e-fb23-11ed-a2c8-0a89691c2239,4.5e-07
af545112-fb21-11ed-9e92-0a89691c2239,4.5e-07
033ab68e-fb24-11ed-9c35-0a89691c2239,4.5e-07
a6ea74fa-fb23-11ed-84d7-0a89691c2239,4.5e-07
c1f93f9e-fb21-11ed-9dab-0a89691c2239,4.5e-07
0fcf80aa-fb24-11ed-b4dc-0a89691c2239,4.5e-07
0fa45b7e-fb23-11ed-b18a-0a89691c2239,4.5e-07
7b5329b8-fb23-11ed-bfaa-0a89691c2239,4.5e-07
d71548b8-fb22-11ed-978a-0a89691c2239,4.5e-07
df46c4c2-fb21-11ed-8576-0a89691c2239,2.75e-07
299900a2-fb23-11ed-96e5-0a89691c2239,5e-08
e874ae6e-fb22-11ed-b1af-0a89691c2239,5e-08
b545a034-fb22-11ed-b78d-0a89691c2239,5e-08
6c0e4b5a-fb22-11ed-bcc9-0a89691c2239,5e-08
eb119b6a-fb21-11ed-9092-0a89691c2239,2.5e-08
584e9c0a-fb22-11ed-8d5c-0a89691c2239,-3e-07
1982544e-fb22-11ed-96db-0a89691c2239,-3e-07
15758310-fb24-11ed-984d-0a89691c2239,-3.5e-07
